operator_id,total_calls,missed_calls,missed_call_rate,avg_waiting_time,outbound_calls,internal_call_rate,avg_call_duration,classification
879896,1131,255,0.22546419098143236,517.579133510168,1071,0.05128205128205128,4039.235190097259,Ineficaz parcial
879898,7974,2594,0.3253072485578129,818.573112616002,7856,0.002382743917732631,2756.355154251317,Ineficaz parcial
880020,54,30,0.5555555555555556,28.48148148148148,46,0.07407407407407407,146.24074074074073,Ineficaz parcial
880022,219,118,0.5388127853881278,128.02739726027397,211,0.0684931506849315,295.0730593607306,Ineficaz parcial
880026,2439,696,0.2853628536285363,158.3169331693317,2414,0.008610086100861008,1539.970069700697,Zona media
880028,2906,1110,0.38196834136269786,299.15450791465935,2836,0.0030970406056434964,1216.9755677907776,Ineficaz parcial
880240,49,18,0.3673469387755102,135.40816326530611,49,0.14285714285714285,1407.5102040816328,Zona media
881278,20,17,0.85,10.7,20,0.4,69.75,Ineficaz parcial
882476,3,0,0.0,31.666666666666668,0,0.0,64.0,Eficiente
882478,4,1,0.25,36.5,1,0.75,19.75,Eficiente
882680,109,3,0.027522935779816515,56.24770642201835,0,0.01834862385321101,211.69724770642202,Eficiente
882684,1364,222,0.1627565982404692,222.53519061583577,721,0.007331378299120235,2832.883431085044,Ineficaz parcial
882686,3931,1000,0.2543881963876876,681.8509285169168,3094,0.0025438819638768763,3630.2922920376495,Ineficaz parcial
882688,82,15,0.18292682926829268,259.0975609756098,62,0.0,1706.9512195121952,Ineficaz parcial
882690,1766,572,0.32389580973952437,906.5118912797282,1590,0.0005662514156285391,4317.833522083805,Ineficaz parcial
883018,2,2,1.0,15.0,2,0.0,0.0,Ineficaz parcial
883898,1,0,0.0,10.0,1,0.0,70.0,Eficiente
883940,694,258,0.37175792507204614,395.72334293948126,686,0.0,991.8587896253603,Ineficaz parcial
883942,2327,586,0.2518263859045982,293.6218306832832,2228,0.0004297378599054577,1916.9853889127633,Ineficaz parcial
884294,1,0,0.0,6.0,0,0.0,5.0,Eficiente
884402,4,1,0.25,26.25,4,0.75,96.5,Eficiente
884406,6,4,0.6666666666666666,37.0,6,1.0,2.6666666666666665,Ineficaz parcial
884408,66,24,0.36363636363636365,92.0,25,0.30303030303030304,128.62121212121212,Zona media
884412,863,352,0.4078794901506373,399.76477404403244,843,0.026651216685979143,1175.5538818076477,Muy ineficaz
884478,2361,1180,0.49978822532825073,775.3994070309191,2336,0.0016941973739940702,987.5789919525624,Muy ineficaz
884524,3,0,0.0,10.333333333333334,0,0.0,26.0,Eficiente
884946,2042,844,0.41332027424094026,1011.3334965719882,2030,0.0009794319294809011,1167.929970617042,Muy ineficaz
885682,3,3,1.0,17.0,3,0.0,0.0,Ineficaz parcial
885876,66049,27388,0.41466184196581324,14851.850217262941,64897,4.5420823933746156e-05,45730.51953852443,Muy ineficaz
885890,66016,26141,0.3959797624818226,10367.30279023267,64653,0.0,28406.319604338343,Ineficaz parcial
886146,52,21,0.40384615384615385,159.30769230769232,51,0.0,837.3461538461538,Ineficaz parcial
886674,14,0,0.0,17.142857142857142,0,0.0,21.071428571428573,Eficiente
886892,2,0,0.0,58.0,0,0.0,72.0,Eficiente
887276,1421,293,0.20619282195636876,134.4109781843772,963,0.20408163265306123,698.1724137931035,Zona media
887278,328,42,0.12804878048780488,45.353658536585364,274,0.7317073170731707,416.5487804878049,Eficiente
887280,8,6,0.75,2.5,8,0.0,3.875,Ineficaz parcial
887282,2452,721,0.2940456769983687,554.6737357259381,2423,0.0020391517128874386,3351.6247960848286,Ineficaz parcial
887416,22,0,0.0,42.40909090909091,0,0.0,553.7727272727273,Eficiente
887802,145,49,0.33793103448275863,46.01379310344828,125,0.006896551724137931,335.9655172413793,Zona media
887992,47,23,0.48936170212765956,138.08510638297872,47,0.0,219.53191489361703,Ineficaz parcial
888406,15,6,0.4,31.066666666666666,6,0.0,60.666666666666664,Zona media
888520,6,0,0.0,21.833333333333332,0,0.0,245.66666666666666,Eficiente
888532,218,50,0.22935779816513763,32.24770642201835,206,0.9403669724770642,183.55045871559633,Eficiente
888534,398,166,0.41708542713567837,260.464824120603,337,0.24874371859296482,271.8065326633166,Muy ineficaz
888536,60,14,0.23333333333333334,31.766666666666666,58,0.95,51.25,Eficiente
888538,7,2,0.2857142857142857,16.714285714285715,6,0.5714285714285714,131.0,Zona media
888540,20,6,0.3,17.1,17,0.8,131.45,Zona media
888868,77,24,0.3116883116883117,73.88311688311688,54,0.23376623376623376,196.1818181818182,Zona media
889410,1568,276,0.1760204081632653,126.65497448979592,1104,0.0006377551020408163,510.2448979591837,Zona media
889638,4,0,0.0,21.25,0,0.0,13.0,Eficiente
889640,2,0,0.0,13.5,0,0.0,25.0,Eficiente
889754,1853,485,0.2617377226119806,282.32218024824607,1342,0.0005396654074473826,1019.2164058283864,Ineficaz parcial
890226,7,3,0.42857142857142855,18.857142857142858,3,0.0,11.571428571428571,Ineficaz parcial
890228,109,32,0.29357798165137616,82.65137614678899,103,0.027522935779816515,284.5963302752294,Zona media
890232,39,0,0.0,48.97435897435897,39,0.0,1582.179487179487,Eficiente
890234,1,0,0.0,12.0,1,0.0,85.0,Eficiente
890402,1928,496,0.2572614107883817,154.2847510373444,1380,0.0005186721991701245,2041.2878630705395,Zona media
890404,2066,552,0.2671829622458858,174.30154888673766,1484,0.002420135527589545,2171.8581800580832,Zona media
890406,1821,462,0.25370675453047775,150.23613399231192,1347,0.001098297638660077,2281.627127951675,Zona media
890410,1369,508,0.3710737764791819,224.73484295105916,1353,0.003652300949598247,2165.5412710007304,Ineficaz parcial
890412,1373,407,0.2964311726147123,225.68463219227968,1344,0.0007283321194464676,2196.2469045884923,Ineficaz parcial
890416,1380,457,0.33115942028985507,250.75507246376813,1380,0.0,2136.260144927536,Ineficaz parcial
890420,746,255,0.3418230563002681,251.86729222520108,746,0.0,2187.0603217158177,Ineficaz parcial
890422,487,183,0.3757700205338809,214.72484599589322,487,0.0,1521.2895277207392,Ineficaz parcial
890582,181,43,0.23756906077348067,46.24309392265194,67,0.03314917127071823,137.3756906077348,Eficiente
890618,357,140,0.39215686274509803,183.57703081232492,279,0.0,510.5742296918767,Zona media
891152,286,91,0.3181818181818182,112.21678321678321,286,0.0,981.8881118881119,Zona media
891154,603,176,0.29187396351575456,142.07794361525706,603,0.004975124378109453,3073.1111111111113,Zona media
891156,24,8,0.3333333333333333,36.083333333333336,24,0.0,633.0833333333334,Zona media
891158,305,90,0.29508196721311475,58.377049180327866,305,0.006557377049180328,1407.3475409836065,Zona media
891160,426,118,0.27699530516431925,284.86150234741785,426,0.0,1409.6361502347418,Ineficaz parcial
891162,114,36,0.3157894736842105,117.78070175438596,114,0.0,744.8421052631579,Zona media
891166,275,74,0.2690909090909091,57.61090909090909,275,0.0,1245.5018181818182,Zona media
891170,219,63,0.2876712328767123,145.5296803652968,219,0.0,1076.447488584475,Zona media
